30:85:a9:2f:00:af,UP,2015/12/18/16/12/57
30:85:a9:2f:00:af,SLASH,2015/12/18/16/13/01
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/16/13/06
30:85:a9:2f:00:af,SLASH,2015/12/18/16/13/11
ac:22:0b:5c:8c:0c,ROLL,2015/12/18/16/13/12
30:85:a9:2f:00:af,ROLL,2015/12/18/16/13/17
30:85:a9:2f:00:af,UP,2015/12/18/16/13/20
ac:22:0b:5c:8c:0c,DOWN,2015/12/18/16/13/23
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/16/13/34
ac:22:0b:5c:8c:0c,ROLL,2015/12/18/16/13/40
ac:22:0b:5c:8c:0c,ROLL,2015/12/18/16/14/24
30:85:a9:2f:00:af,ROLL,2015/12/18/16/28/25
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/16/28/27
30:85:a9:2f:00:af,ROLL,2015/12/18/16/28/29
30:85:a9:2f:00:af,ROLL,2015/12/18/16/28/33
30:85:a9:2f:00:af,UP,2015/12/18/16/28/36
30:85:a9:2f:00:af,SLASH,2015/12/18/16/28/40
ac:22:0b:5c:8c:0c,UP,2015/12/18/16/28/40
30:85:a9:2f:00:af,UP,2015/12/18/16/28/44
30:85:a9:2f:00:af,ROLL,2015/12/18/16/28/49
30:85:a9:2f:00:af,ROLL,2015/12/18/16/28/53
30:85:a9:2f:00:af,DOWN,2015/12/18/16/28/56
30:85:a9:2f:00:af,ROLL,2015/12/18/16/29/28
30:85:a9:2f:00:af,UP,2015/12/18/16/29/34
30:85:a9:2f:00:af,UP,2015/12/18/16/29/39
30:85:a9:2f:00:af,ROLL,2015/12/18/16/29/42
30:85:a9:2f:00:af,SLASH,2015/12/18/16/29/45
30:85:a9:2f:00:af,DOWN,2015/12/18/16/29/49
30:85:a9:2f:00:af,ROLL,2015/12/18/16/58/05
30:85:a9:2f:00:af,SLASH,2015/12/18/16/58/07
30:85:a9:2f:00:af,UP,2015/12/18/16/58/09
30:85:a9:2f:00:af,UP,2015/12/18/16/58/12
30:85:a9:2f:00:af,UP,2015/12/18/16/58/15
30:85:a9:2f:00:af,UP,2015/12/18/16/58/20
30:85:a9:2f:00:af,SLASH,2015/12/18/16/58/23
30:85:a9:2f:00:af,ROLL,2015/12/18/16/58/25
30:85:a9:2f:00:af,ROLL,2015/12/18/16/58/31
30:85:a9:2f:00:af,ROLL,2015/12/18/16/58/35
30:85:a9:2f:00:af,SLASH,2015/12/18/16/58/40
30:85:a9:2f:00:af,UP,2015/12/18/16/58/43
30:85:a9:2f:00:af,UP,2015/12/18/16/58/45
30:85:a9:2f:00:af,UP,2015/12/18/16/58/49
30:85:a9:2f:00:af,UP,2015/12/18/16/58/51
30:85:a9:2f:00:af,ROLL,2015/12/18/23/43/44
30:85:a9:2f:00:af,SLASH,2015/12/18/23/44/24
30:85:a9:2f:00:af,DOWN,2015/12/18/23/44/43
ac:22:0b:5c:8c:0c,UP,2015/12/18/23/44/52
30:85:a9:2f:00:af,ROLL,2015/12/18/23/44/53
30:85:a9:2f:00:af,UP,2015/12/18/23/44/57
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/44/57
30:85:a9:2f:00:af,UP,2015/12/18/23/45/02
30:85:a9:2f:00:af,ROLL,2015/12/18/23/45/05
ac:22:0b:5c:8c:0c,UP,2015/12/18/23/45/04
30:85:a9:2f:00:af,UP,2015/12/18/23/45/09
30:85:a9:2f:00:af,SLASH,2015/12/18/23/45/12
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/45/12
30:85:a9:2f:00:af,SLASH,2015/12/18/23/45/17
30:85:a9:2f:00:af,SLASH,2015/12/18/23/45/21
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/45/21
30:85:a9:2f:00:af,SLASH,2015/12/18/23/45/24
ac:22:0b:5c:8c:0c,ROLL,2015/12/18/23/45/25
30:85:a9:2f:00:af,SLASH,2015/12/18/23/45/29
30:85:a9:2f:00:af,UP,2015/12/18/23/45/32
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/45/32
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/45/35
30:85:a9:2f:00:af,ROLL,2015/12/18/23/45/37
30:85:a9:2f:00:af,SLASH,2015/12/18/23/45/41
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/45/40
30:85:a9:2f:00:af,ROLL,2015/12/18/23/45/57
30:85:a9:2f:00:af,DOWN,2015/12/18/23/46/33
30:85:a9:2f:00:af,UP,2015/12/18/23/46/35
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/46/35
30:85:a9:2f:00:af,SLASH,2015/12/18/23/46/38
30:85:a9:2f:00:af,ROLL,2015/12/18/23/46/40
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/46/40
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/47/17
30:85:a9:2f:00:af,SLASH,2015/12/18/23/48/04
ac:22:0b:5c:8c:0c,SLASH,2015/12/18/23/48/05
30:85:a9:2f:00:af,UP,2015/12/18/23/48/53
30:85:a9:2f:00:af,UP,2015/12/18/23/48/56
ac:22:0b:5c:8c:0c,UP,2015/12/18/23/49/05
ac:22:0b:5c:8c:0c,DOWN,2015/12/18/23/49/10
30:85:a9:2f:00:af,ROLL,2015/12/18/23/49/10
30:85:a9:2f:00:af,UP,2015/12/18/23/49/13
ac:22:0b:5c:8c:0c,HIDE,2015/12/18/23/49/15
